title,link,postdate,fname
"Most-watched soccer games on US TV for December 16-29, 2019",https://worldsoccertalk.com/2020/01/03/watched-soccer-games-us-tv-december-16-29-2019/,"January 3, 2020",watched-soccer-games-us-tv-december-16-29-2019.html
"Most-watched soccer games on US TV for December 11-15, 2019",https://worldsoccertalk.com/2019/12/21/watched-soccer-games-us-tv-december-11-15-2019/,"December 21, 2019",watched-soccer-games-us-tv-december-11-15-2019.html
"Most-watched soccer games on US TV for December 3-9, 2019",https://worldsoccertalk.com/2019/12/12/watched-soccer-games-us-tv-december-3-9-2019/,"December 12, 2019",watched-soccer-games-us-tv-december-3-9-2019.html
"Most-watched soccer games on US TV for November 14-December 1, 2019",https://worldsoccertalk.com/2019/12/08/watched-soccer-games-us-tv-november-14-december-1-2019/,"December 8, 2019",watched-soccer-games-us-tv-november-14-december-1-2019.html
"Most-watched soccer games on US TV for November 5-11, 2019",https://worldsoccertalk.com/2019/11/15/watched-soccer-games-us-tv-november-5-11-2019/,"November 15, 2019",watched-soccer-games-us-tv-november-5-11-2019.html
"Most-watched soccer games on US TV for October 28-November 3, 2019",https://worldsoccertalk.com/2019/11/12/watched-soccer-games-us-tv-october-28-november-3-2019/,"November 12, 2019",watched-soccer-games-us-tv-october-28-november-3-2019.html
"Most-watched soccer games on US TV for October 22-27, 2019",https://worldsoccertalk.com/2019/11/03/watched-soccer-games-us-tv-october-22-27-2019/,"November 3, 2019",watched-soccer-games-us-tv-october-22-27-2019.html
"Most-watched soccer games on US TV for October 9-21, 2019",https://worldsoccertalk.com/2019/10/25/watched-soccer-games-us-tv-october-9-21-2019/,"October 25, 2019",watched-soccer-games-us-tv-october-9-21-2019.html
"Most-watched soccer games on US TV for October 1-6, 2019",https://worldsoccertalk.com/2019/10/10/watched-soccer-games-us-tv-october-1-6-2019/,"October 10, 2019",watched-soccer-games-us-tv-october-1-6-2019.html
"Most-watched soccer games on US TV for September 23-30, 2019",https://worldsoccertalk.com/2019/10/06/watched-soccer-games-us-tv-september-23-30-2019/,"October 6, 2019",watched-soccer-games-us-tv-september-23-30-2019.html
"Most-watched soccer games on US TV for September 3-22, 2019",https://worldsoccertalk.com/2019/09/28/watched-soccer-games-us-tv-september-3-22-2019/,"September 28, 2019",watched-soccer-games-us-tv-september-3-22-2019.html
"Most-watched soccer games on US TV for August 27-September 1, 2019",https://worldsoccertalk.com/2019/09/07/watched-soccer-games-us-tv-august-27-september-1-2019/,"September 7, 2019",watched-soccer-games-us-tv-august-27-september-1-2019.html
"Most-watched soccer games on US TV for August 20-26, 2019",https://worldsoccertalk.com/2019/09/02/watched-soccer-games-us-tv-august-20-26-2019/,"September 2, 2019",watched-soccer-games-us-tv-august-20-26-2019.html
"Most-watched soccer games on US TV for August 14-19, 2019",https://worldsoccertalk.com/2019/08/22/watched-soccer-games-us-tv-august-14-19-2019/,"August 22, 2019",watched-soccer-games-us-tv-august-14-19-2019.html
"Most-watched soccer games on US TV for August 1-11, 2019",https://worldsoccertalk.com/2019/08/15/watched-soccer-games-us-tv-august-1-11-2019/,"August 15, 2019",watched-soccer-games-us-tv-august-1-11-2019.html
"Most-watched soccer games on US TV for July 9-31, 2019",https://worldsoccertalk.com/2019/08/10/watched-soccer-games-us-tv-july-9-31-2019/,"August 10, 2019",watched-soccer-games-us-tv-july-9-31-2019.html
"Most-watched soccer games on US TV for June 24-July 7, 2019",https://worldsoccertalk.com/2019/07/10/watched-soccer-games-us-tv-june-24-july-7-2019/,"July 10, 2019",watched-soccer-games-us-tv-june-24-july-7-2019.html
"Most-watched soccer games on US TV for June 17-23, 2019",https://worldsoccertalk.com/2019/06/30/watched-soccer-games-us-tv-june-17-23-2019/,"June 30, 2019",watched-soccer-games-us-tv-june-17-23-2019.html
"Most-watched soccer games on US TV for June 10-16, 2019",https://worldsoccertalk.com/2019/06/21/watched-soccer-games-us-tv-june-10-16-2019/,"June 21, 2019",watched-soccer-games-us-tv-june-10-16-2019.html
"Most-watched soccer games on US TV for May 27-June 9, 2019",https://worldsoccertalk.com/2019/06/13/watched-soccer-games-us-tv-may-27-june-9-2019/,"June 13, 2019",watched-soccer-games-us-tv-may-27-june-9-2019.html
"Most-watched soccer games on US TV for May 15-26, 2019",https://worldsoccertalk.com/2019/05/31/watched-soccer-games-us-tv-may-15-26-2019/,"May 31, 2019",watched-soccer-games-us-tv-may-15-26-2019.html
"Most-watched soccer games on US TV for May 7-12, 2019",https://worldsoccertalk.com/2019/05/16/watched-soccer-games-us-tv-may-7-12-2019/,"May 16, 2019",watched-soccer-games-us-tv-may-7-12-2019.html
"Most-watched soccer games on US TV for April 30-May 6, 2019",https://worldsoccertalk.com/2019/05/11/watched-soccer-games-us-tv-april-30-may-6-2019/,"May 11, 2019",watched-soccer-games-us-tv-april-30-may-6-2019.html
"Most-watched soccer games on US TV for April 16-29, 2019",https://worldsoccertalk.com/2019/05/02/watched-soccer-games-us-tv-april-16-29-2019/,"May 2, 2019",watched-soccer-games-us-tv-april-16-29-2019.html
"Most-watched soccer games on US TV for April 10-15, 2019",https://worldsoccertalk.com/2019/04/19/watched-soccer-games-us-tv-april-10-15-2019/,"April 19, 2019",watched-soccer-games-us-tv-april-10-15-2019.html
"Most-watched soccer games on US TV for April 2-8, 2019",https://worldsoccertalk.com/2019/04/12/watched-soccer-games-us-tv-april-2-8-2019/,"April 12, 2019",watched-soccer-games-us-tv-april-2-8-2019.html
"Most-watched soccer games on US TV for March 20-April 1, 2019",https://worldsoccertalk.com/2019/04/04/watched-soccer-games-us-tv-march-20-april-1-2019/,"April 4, 2019",watched-soccer-games-us-tv-march-20-april-1-2019.html
"Most-watched soccer games on US TV for March 5-18, 2019",https://worldsoccertalk.com/2019/03/22/watched-soccer-games-us-tv-march-5-18-2019/,"March 22, 2019",watched-soccer-games-us-tv-march-5-18-2019.html
"Most-watched soccer games on US TV for February 26 to March 4, 2019",https://worldsoccertalk.com/2019/03/08/watched-soccer-games-us-tv-february-26-march-4-2019/,"March 8, 2019",watched-soccer-games-us-tv-february-26-march-4-2019.html
"Most-watched soccer games on US TV for February 18-24, 2019",https://worldsoccertalk.com/2019/03/01/watched-soccer-games-us-tv-february-18-24-2019/,"March 1, 2019",watched-soccer-games-us-tv-february-18-24-2019.html
"Most-watched soccer games on US TV for February 11-17, 2019",https://worldsoccertalk.com/2019/02/23/watched-soccer-games-us-tv-february-11-17-2019/,"February 23, 2019",watched-soccer-games-us-tv-february-11-17-2019.html
"Most-watched soccer games on US TV for February 6-10, 2019",https://worldsoccertalk.com/2019/02/15/watched-soccer-games-us-tv-february-6-10-2019/,"February 15, 2019",watched-soccer-games-us-tv-february-6-10-2019.html
"Most-watched soccer games on US TV for January 29-February 4, 2019",https://worldsoccertalk.com/2019/02/08/watched-soccer-games-us-tv-january-29-february-4-2019/,"February 8, 2019",watched-soccer-games-us-tv-january-29-february-4-2019.html
"Most-watched soccer games on US TV for January 18-28, 2019",https://worldsoccertalk.com/2019/02/01/watched-soccer-games-us-tv-january-18-28-2019/,"February 1, 2019",watched-soccer-games-us-tv-january-18-28-2019.html
"Most-watched soccer games on US TV for January 1-14, 2019",https://worldsoccertalk.com/2019/01/17/watched-soccer-games-us-tv-january-1-14-2019/,"January 17, 2019",watched-soccer-games-us-tv-january-1-14-2019.html
"Most-watched soccer games on US TV for December 18-30, 2018",https://worldsoccertalk.com/2019/01/06/watched-soccer-games-us-tv-december-18-30-2018/,"January 6, 2019",watched-soccer-games-us-tv-december-18-30-2018.html
"Most-watched soccer games on US TV for December 11-16, 2018",https://worldsoccertalk.com/2018/12/21/watched-soccer-games-us-tv-december-11-16-2018/,"December 21, 2018",watched-soccer-games-us-tv-december-11-16-2018.html
"Most-watched soccer games on US TV for December 5-10, 2018",https://worldsoccertalk.com/2018/12/13/watched-soccer-games-us-tv-december-5-10-2018/,"December 13, 2018",watched-soccer-games-us-tv-december-5-10-2018.html
Most-watched MLS Cup Finals of all-time on US TV,https://worldsoccertalk.com/2018/12/11/watched-mls-cup-finals-time-us-tv/,"December 11, 2018",watched-mls-cup-finals-time-us-tv.html
"Most-watched soccer games on US TV for November 27-December 2, 2018",https://worldsoccertalk.com/2018/12/07/watched-soccer-games-us-tv-november-27-december-2-2018/,"December 7, 2018",watched-soccer-games-us-tv-november-27-december-2-2018.html
"Most-watched soccer games on US TV for November 13-26, 2018",https://worldsoccertalk.com/2018/11/30/watched-soccer-games-us-tv-november-13-26-2018/,"November 30, 2018",watched-soccer-games-us-tv-november-13-26-2018.html
"Most-watched soccer games on US TV for October 29-November 11, 2018",https://worldsoccertalk.com/2018/11/18/watched-soccer-games-us-tv-october-29-november-11-2018/,"November 18, 2018",watched-soccer-games-us-tv-october-29-november-11-2018.html
"Most-watched soccer games on US TV for October 22-28, 2018",https://worldsoccertalk.com/2018/11/02/watched-soccer-games-us-tv-october-22-28-2018/,"November 2, 2018",watched-soccer-games-us-tv-october-22-28-2018.html
"Most-watched soccer games on US TV for October 10-21, 2018",https://worldsoccertalk.com/2018/10/25/watched-soccer-games-us-tv-october-10-21-2018/,"October 25, 2018",watched-soccer-games-us-tv-october-10-21-2018.html
"Most-watched soccer games on US TV for September 25-October 7, 2018",https://worldsoccertalk.com/2018/10/19/watched-soccer-games-us-tv-september-25-october-7-2018/,"October 19, 2018",watched-soccer-games-us-tv-september-25-october-7-2018.html
"Most-watched soccer games on US TV for September 18-23, 2018",https://worldsoccertalk.com/2018/09/29/watched-soccer-games-us-tv-september-18-23-2018/,"September 29, 2018",watched-soccer-games-us-tv-september-18-23-2018.html
"Most-watched soccer games on US TV for September 6-16, 2018",https://worldsoccertalk.com/2018/09/21/watched-soccer-games-us-tv-september-6-16-2018/,"September 21, 2018",watched-soccer-games-us-tv-september-6-16-2018.html
"Most-watched soccer games on US TV for August 22-September 2, 2018",https://worldsoccertalk.com/2018/09/08/watched-soccer-games-us-tv-august-22-september-2-2018/,"September 8, 2018",watched-soccer-games-us-tv-august-22-september-2-2018.html
"Most-watched soccer games on US TV for August 15-20, 2018",https://worldsoccertalk.com/2018/08/25/watched-soccer-games-us-tv-august-15-20-2018/,"August 25, 2018",watched-soccer-games-us-tv-august-15-20-2018.html
"Most-watched soccer games on US TV for August 7-12, 2018",https://worldsoccertalk.com/2018/08/18/watched-soccer-games-us-tv-august-7-12-2018/,"August 18, 2018",watched-soccer-games-us-tv-august-7-12-2018.html
"Most-watched soccer games on US TV for July 30-August 5, 2018",https://worldsoccertalk.com/2018/08/09/watched-soccer-games-us-tv-july-30-august-5-2018/,"August 9, 2018",watched-soccer-games-us-tv-july-30-august-5-2018.html
"Most-watched soccer games on US TV for July 19-29, 2018",https://worldsoccertalk.com/2018/08/02/watched-soccer-games-us-tv-july-19-29-2018/,"August 2, 2018",watched-soccer-games-us-tv-july-19-29-2018.html
"Most-watched soccer games on US TV for July 6-15, 2018",https://worldsoccertalk.com/2018/07/21/watched-soccer-games-us-tv-july-6-15-2018/,"July 21, 2018",watched-soccer-games-us-tv-july-6-15-2018.html
"Most-watched soccer games on US TV for June 25-July 3, 2018",https://worldsoccertalk.com/2018/07/07/watched-soccer-games-us-tv-june-25-july-3-2018/,"July 7, 2018",watched-soccer-games-us-tv-june-25-july-3-2018.html
"Most-watched soccer games on US TV for June 20-24, 2018",https://worldsoccertalk.com/2018/06/29/watched-soccer-games-us-tv-june-20-24-2018/,"June 29, 2018",watched-soccer-games-us-tv-june-20-24-2018.html
"Most-watched soccer games on US TV for June 2-19, 2018",https://worldsoccertalk.com/2018/06/22/watched-soccer-games-us-tv-june-2-19-2018/,"June 22, 2018",watched-soccer-games-us-tv-june-2-19-2018.html
"Most-watched soccer games on US TV for May 14-28, 2018",https://worldsoccertalk.com/2018/06/02/watched-soccer-games-us-tv-may-14-28-2018/,"June 2, 2018",watched-soccer-games-us-tv-may-14-28-2018.html
"Most-watched soccer games on US TV for May 7-13, 2018",https://worldsoccertalk.com/2018/05/17/watched-soccer-games-us-tv-may-7-13-2018/,"May 17, 2018",watched-soccer-games-us-tv-may-7-13-2018.html
"Most-watched soccer games on US TV for May 1-6, 2018",https://worldsoccertalk.com/2018/05/10/watched-soccer-games-us-tv-may-1-6-2018/,"May 10, 2018",watched-soccer-games-us-tv-may-1-6-2018.html
"Most-watched soccer games on US TV for April 25-29, 2018",https://worldsoccertalk.com/2018/05/04/watched-soccer-games-us-tv-april-25-29-2018/,"May 4, 2018",watched-soccer-games-us-tv-april-25-29-2018.html
"Most-watched soccer games on US TV for April 17-22, 2018",https://worldsoccertalk.com/2018/04/26/watched-soccer-games-us-tv-april-17-22-2018/,"April 26, 2018",watched-soccer-games-us-tv-april-17-22-2018.html
"Most-watched soccer games on US TV for April 10-15, 2018",https://worldsoccertalk.com/2018/04/20/watched-soccer-games-us-tv-april-10-15-2018/,"April 20, 2018",watched-soccer-games-us-tv-april-10-15-2018.html
"Most-watched soccer games on US TV for April 3-8, 2018",https://worldsoccertalk.com/2018/04/12/watched-soccer-games-us-tv-april-3-8-2018/,"April 12, 2018",watched-soccer-games-us-tv-april-3-8-2018.html
"Most-watched soccer games on US TV for March 24-April 1, 2018",https://worldsoccertalk.com/2018/04/06/watched-soccer-games-us-tv-march-24-april-1-2018/,"April 6, 2018",watched-soccer-games-us-tv-march-24-april-1-2018.html
"Most-watched soccer games on US TV for March 14-18, 2018",https://worldsoccertalk.com/2018/03/23/watched-soccer-games-us-tv-march-14-18-2018/,"March 23, 2018",watched-soccer-games-us-tv-march-14-18-2018.html
"Most-watched soccer games on US TV for March 5-11, 2018",https://worldsoccertalk.com/2018/03/17/watched-soccer-games-us-tv-march-5-11-2018/,"March 17, 2018",watched-soccer-games-us-tv-march-5-11-2018.html
"Most-watched soccer games on US TV for March 1-4, 2018",https://worldsoccertalk.com/2018/03/08/watched-soccer-games-us-tv-march-1-4-2018/,"March 8, 2018",watched-soccer-games-us-tv-march-1-4-2018.html
"Most-watched soccer games on US TV for February 2-27, 2018",https://worldsoccertalk.com/2018/03/05/watched-soccer-games-us-tv-february-2-27-2018/,"March 5, 2018",watched-soccer-games-us-tv-february-2-27-2018.html
"Most-watched soccer games on US TV for January 11-22, 2018",https://worldsoccertalk.com/2018/01/25/watched-soccer-games-us-tv-january-11-22/,"January 25, 2018",watched-soccer-games-us-tv-january-11-22.html
Most-watched soccer games on US TV for December 26-January 7,https://worldsoccertalk.com/2018/01/12/watched-soccer-games-us-tv-december-26-january-7/,"January 12, 2018",watched-soccer-games-us-tv-december-26-january-7.html
"Most-watched soccer games on US TV for December 7-23, 2017",https://worldsoccertalk.com/2017/12/29/watched-soccer-games-us-tv-december-7-23-2017/,"December 29, 2017",watched-soccer-games-us-tv-december-7-23-2017.html
"Most-watched soccer games on US TV for November 21-December 3, 2017",https://worldsoccertalk.com/2017/12/10/watched-soccer-games-us-tv-november-21-december-3-2017/,"December 10, 2017",watched-soccer-games-us-tv-november-21-december-3-2017.html
"Most-watched soccer games on US TV for November 9-19, 2017",https://worldsoccertalk.com/2017/11/27/watched-soccer-games-us-tv-november-9-19-2017/,"November 27, 2017",watched-soccer-games-us-tv-november-9-19-2017.html
"Most-watched soccer games on US TV for October 31-November 5, 2017",https://worldsoccertalk.com/2017/11/14/watched-soccer-games-us-tv-october-31-november-5-2017/,"November 14, 2017",watched-soccer-games-us-tv-october-31-november-5-2017.html
